index,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,Race
258,0,0,0,0,1,0,0,1
259,0,0,0,0,0,0,1,1
260,1,0,0,0,0,0,1,0
261,1,3,0,0,0,0,1,0
262,0,0,0,0,0,1,0,0
263,1,9,1,0,1,0,0,0
264,0,0,0,0,0,0,0,1
265,1,0,1,0,1,0,0,1
266,0,0,0,1,0,1,1,0
267,0,0,0,1,0,0,1,0
268,0,7,1,0,0,0,0,1
269,1,0,1,0,1,0,0,1
270,0,8,1,0,0,0,0,0
271,1,2,1,0,1,0,0,1
272,1,36,1,1,0,0,0,0
273,1,2,0,0,0,0,1,0
274,0,3,1,0,1,0,0,1
275,0,0,1,0,0,1,0,1
276,1,2,0,0,0,1,1,0
277,0,1,0,0,1,1,1,1
278,0,1,1,0,0,0,0,0
279,1,0,1,0,1,1,0,1
280,0,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0,1
282,1,1,0,0,0,0,0,0
283,0,0,0,0,0,0,0,1
284,0,0,1,0,0,1,1,0
285,0,1,0,1,0,0,1,1
286,1,12,1,0,0,0,0,1
287,0,1,1,0,1,0,0,1
288,0,3,0,1,0,0,0,1
289,0,0,0,0,0,0,0,0
290,1,2,1,0,1,0,0,1
291,0,0,1,0,0,0,1,1
292,0,0,0,0,0,0,1,0
293,0,0,1,0,1,1,0,0
294,0,0,0,1,0,0,1,0
295,0,2,1,0,1,0,0,0
296,1,6,1,0,0,0,1,1
297,0,0,0,0,1,0,0,0
298,1,0,1,0,1,1,0,1
299,0,3,1,1,0,0,0,1
300,0,2,0,0,0,0,1,1
301,0,0,0,1,0,1,1,0
302,1,3,1,0,1,0,0,1
303,0,1,0,0,1,1,0,0
304,0,1,0,0,0,0,0,1
305,0,0,0,0,0,0,0,0
306,0,1,0,0,1,0,0,1
307,1,2,1,0,1,0,1,0
308,1,4,1,0,1,0,0,1
309,1,0,1,0,1,0,0,1
310,0,1,0,0,0,0,1,0
311,1,1,0,1,0,1,1,0
312,1,0,1,0,0,0,0,0
313,1,7,1,0,0,0,0,1
314,0,1,0,1,0,1,1,0
315,0,0,0,0,1,1,0,1
316,0,1,0,0,0,0,0,1
317,0,1,0,0,0,0,1,1
318,1,6,1,0,0,0,0,1
319,1,4,1,0,1,0,0,1
320,0,3,1,0,1,0,1,0
321,1,23,1,0,0,0,0,1
322,0,2,1,0,0,0,0,1
323,0,2,0,1,0,0,0,1
324,0,7,0,0,0,0,0,1
325,1,23,1,1,0,0,0,0
326,0,0,0,1,0,1,1,0
327,1,12,1,0,0,0,0,1
328,0,5,1,0,0,0,0,1
329,0,3,0,0,0,0,1,0
330,0,0,0,0,0,1,0,1
331,1,14,1,0,0,0,0,1
332,0,2,1,0,0,0,0,1
333,1,0,1,0,1,0,1,1
334,0,0,0,0,0,0,0,0
335,0,5,0,1,0,0,0,1
336,1,9,1,0,0,0,0,1
337,1,4,0,1,0,0,0,0
338,0,3,0,0,0,0,0,1
339,0,4,0,1,0,0,0,0
340,0,1,0,0,1,0,1,1
341,0,0,1,0,0,1,1,0
342,0,0,0,1,0,0,1,0
343,0,0,1,0,1,1,0,1
344,0,11,1,1,0,0,0,1
345,1,0,0,0,0,0,1,0
346,0,0,0,0,1,0,1,1
347,0,0,0,0,1,0,0,0
348,0,2,0,1,0,1,1,0
349,1,7,0,0,0,0,1,1
350,1,1,1,0,1,0,0,0
351,1,8,1,0,0,0,0,1
352,0,1,0,0,0,0,0,0
353,1,0,1,0,1,0,0,1
354,1,0,1,0,0,0,1,0
355,1,21,1,1,0,0,1,1
356,0,3,1,0,1,0,0,1
357,1,1,0,1,0,0,1,1
358,0,0,0,0,0,0,0,0
359,1,1,1,1,0,0,0,1
360,0,3,0,0,0,0,1,0
361,0,3,0,0,0,0,0,1
362,1,3,1,0,1,0,0,0
363,0,0,0,0,0,0,0,0
364,0,2,1,0,0,0,0,1
365,1,3,1,0,1,1,0,1
366,1,1,1,0,1,0,0,0
367,0,2,0,0,0,0,1,0
368,0,0,1,0,1,1,0,0
369,0,0,0,0,0,0,1,0
370,1,2,1,0,0,0,0,1
371,1,1,1,0,1,0,0,1
372,1,1,0,0,1,0,1,1
373,0,4,0,1,0,0,0,0
374,0,3,0,1,0,1,0,1
375,0,1,0,0,0,0,1,1
376,0,5,0,0,0,0,0,1
377,0,0,0,0,1,0,1,0
378,1,2,1,1,0,1,0,1
379,1,0,0,0,0,0,1,0
380,1,0,1,0,1,0,0,0
381,1,13,1,0,0,0,1,1
382,1,1,1,0,0,0,1,1
383,1,3,1,0,0,0,0,1
384,1,6,1,1,0,0,0,0
385,1,1,0,0,0,0,0,0
386,1,5,0,1,0,0,0,1
387,1,10,1,0,0,0,0,1
388,0,5,1,0,0,0,0,1
389,0,2,0,1,0,0,0,0
390,0,0,0,0,0,0,0,1
391,0,6,1,0,1,0,0,1
392,1,28,1,1,0,0,0,1
393,1,8,1,0,0,0,0,1
394,1,6,1,0,1,1,0,1
395,0,2,0,1,0,0,1,1
396,1,12,1,1,0,0,1,1
397,1,1,1,0,1,0,1,0
398,0,1,0,0,0,0,1,1
399,1,1,1,0,1,0,0,1
400,0,0,0,1,0,0,0,0
401,0,0,1,0,1,0,0,1
402,0,3,0,0,0,0,0,0
403,0,3,0,1,0,0,0,0
404,1,4,1,0,0,0,0,0
405,0,0,0,1,0,0,0,0
406,1,4,0,0,0,0,0,1
407,1,1,0,1,0,0,0,0
408,0,0,1,0,0,0,0,0
409,0,1,0,1,0,0,0,1
410,0,2,0,0,0,0,1,1
411,1,6,1,0,1,1,0,0
412,1,2,1,0,1,0,1,0
413,1,5,1,1,0,0,0,0
414,0,1,0,0,0,0,0,1
415,0,0,0,0,0,1,1,0
416,1,0,0,0,0,0,1,0
417,0,0,0,1,0,0,1,1
418,1,4,0,0,0,0,0,1
419,0,0,0,1,0,1,1,0
420,0,0,1,0,0,0,0,1
421,1,1,0,0,0,0,1,0
422,1,7,1,0,0,0,0,1
423,0,20,0,1,0,0,0,1
424,1,33,1,1,0,0,0,1
425,0,2,1,0,0,0,0,0
426,0,1,0,1,0,0,1,0
427,0,1,0,0,0,0,0,0
428,0,4,0,1,0,0,1,0
429,0,12,1,1,0,0,0,0
430,0,0,0,0,0,1,1,1
431,0,0,0,1,0,1,1,0
432,0,7,0,0,0,0,1,1
433,0,2,0,0,0,0,1,0
434,0,2,0,0,0,0,1,1
435,0,6,0,0,0,1,0,1
436,0,0,0,0,0,0,1,0
437,1,10,1,1,0,0,0,1
438,1,5,1,0,0,0,0,1
439,0,0,0,0,1,0,0,0
440,1,1,1,1,0,0,0,0
441,0,4,1,1,0,0,1,1
442,1,0,0,0,1,0,0,1
443,1,4,0,0,0,0,0,0
444,0,0,0,0,1,0,0,0
445,0,0,1,0,1,0,1,0
446,0,6,0,0,0,0,0,0
447,1,1,0,0,0,0,1,1
448,0,0,0,0,0,0,0,1
449,1,6,0,0,0,0,0,1
450,1,1,0,0,0,0,0,0
451,1,0,0,0,1,0,0,0
452,0,1,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0
454,0,20,1,0,0,0,0,1
455,0,0,1,0,0,0,0,1
456,1,14,1,0,0,0,0,1
457,1,9,1,0,1,0,1,0
458,1,0,1,0,1,0,0,1
459,0,1,0,1,0,0,1,0
460,1,5,1,0,0,0,0,1
461,1,2,0,0,0,0,1,1
462,1,2,1,1,0,0,0,0
463,0,1,0,0,0,0,1,1
464,0,2,0,0,1,0,0,0
465,0,8,1,0,0,0,0,1
466,0,6,1,1,0,0,0,1
467,0,3,1,0,0,0,0,1
468,0,0,0,1,0,1,0,0
469,1,3,0,0,0,0,0,1
470,1,3,1,0,1,0,0,1
471,0,1,0,1,0,0,1,0
472,1,3,1,0,1,0,0,1
473,0,3,0,1,0,0,1,1
474,0,0,0,0,0,0,0,1
475,0,1,1,0,0,0,0,0
476,1,16,1,0,0,0,0,1
477,0,0,0,0,0,1,1,1
478,0,1,1,0,1,0,0,1
479,1,2,0,0,0,0,0,0
480,0,5,0,0,0,0,0,0
481,0,8,1,0,1,0,0,1
482,1,5,0,0,0,0,1,1
483,0,11,0,0,0,0,1,0
484,1,6,0,0,0,1,0,1
485,0,0,0,0,0,0,1,0
486,0,15,1,0,0,0,0,1
487,0,4,1,0,0,0,0,1
488,0,0,0,0,0,1,1,1
489,0,1,0,1,0,0,0,1
490,1,2,0,1,0,1,1,0
491,1,5,0,1,0,0,0,0
492,1,0,0,1,0,0,1,0
493,0,0,0,1,0,1,1,0
494,1,5,1,0,0,0,0,1
495,0,0,0,0,1,1,1,0
496,0,1,0,0,1,0,1,0
497,1,0,1,0,0,0,1,0
498,0,0,0,0,0,0,1,1
499,0,1,0,0,0,0,0,0
500,0,0,0,0,0,0,1,1
501,0,0,1,0,1,1,0,0
502,0,0,0,0,0,0,1,1
503,1,0,0,0,1,0,1,1
504,0,1,0,0,0,0,0,1
505,0,0,1,0,1,1,0,0
506,0,1,0,0,1,0,0,1
507,1,3,1,0,0,0,1,1
508,1,3,1,0,0,0,1,1
509,0,0,0,0,0,0,0,1
510,1,11,1,0,1,0,0,1
511,0,1,0,0,0,1,0,1
512,1,1,1,0,0,0,1,1
513,0,1,1,0,0,0,1,1
514,1,6,1,0,0,0,0,0
515,0,0,0,1,0,1,1,0
516,0,2,0,0,0,0,1,0
517,1,5,1,0,0,0,1,1
518,0,0,0,0,0,0,0,0
519,1,0,1,0,1,0,0,1
520,1,4,1,0,0,0,0,1
521,0,0,0,1,0,0,1,0
522,1,2,0,0,0,0,1,0
523,0,10,0,0,0,0,0,1
524,1,9,0,1,0,0,1,1
525,0,3,1,0,1,1,0,0
526,0,0,1,0,1,1,1,1
527,1,2,1,0,1,1,0,0
528,0,1,0,0,0,0,1,1
529,0,0,0,0,0,0,1,1
530,1,15,1,1,0,0,0,1
531,0,0,0,0,0,0,1,1
532,1,4,1,0,1,0,0,1
533,1,3,1,0,0,0,0,0
534,0,5,1,0,0,0,1,0
535,0,1,1,0,0,0,0,0
536,1,3,1,0,1,0,0,0
537,0,0,0,0,0,0,0,1
538,1,18,1,0,0,0,0,1
539,1,0,0,0,0,1,0,0
540,0,0,1,0,1,0,0,0
541,1,4,0,1,0,1,0,1
542,1,0,0,1,0,1,1,0
543,0,0,0,0,1,0,0,1
544,0,0,1,0,1,1,0,1
545,0,0,0,0,0,0,0,1
546,1,8,1,0,0,0,0,1
547,0,10,1,0,0,1,0,1
548,0,1,1,1,0,1,0,0
549,1,2,0,0,0,0,0,0
550,1,0,1,0,0,0,0,1
551,1,1,0,0,1,0,0,1
552,1,13,1,0,0,0,0,1
553,1,1,0,0,0,0,0,0
554,1,23,1,0,0,0,0,1
555,0,20,1,1,0,0,0,1
556,0,3,1,0,1,0,0,1
557,1,1,1,0,0,0,1,1
558,1,2,1,0,1,0,1,1
559,1,2,0,1,0,0,1,1
560,0,0,0,0,0,0,1,1
561,0,0,0,0,0,1,0,1
562,0,1,0,1,0,0,1,0
563,0,0,0,1,0,0,0,1
564,0,0,1,0,1,0,0,1
565,0,11,0,0,0,0,0,1
566,1,4,1,0,0,0,1,0
567,0,0,0,1,0,0,0,0
568,0,0,0,0,0,1,1,1
569,0,2,0,1,0,1,0,0
570,0,0,0,0,0,0,1,1
571,1,0,1,0,0,0,1,1
572,1,17,1,1,0,0,0,1
573,0,3,1,0,1,0,0,1
574,0,0,0,0,0,1,1,0
575,1,15,1,0,0,1,0,0
576,1,7,1,0,0,0,0,1
577,1,2,1,0,1,0,1,1
578,0,3,0,0,0,0,0,1
579,1,0,1,0,1,0,0,0
580,1,3,0,1,0,0,0,0
581,0,5,1,0,0,0,0,1
582,0,4,1,0,0,0,1,1
583,1,14,1,0,0,0,0,1
584,0,2,0,1,0,0,0,0
585,1,3,0,0,0,0,1,1
586,1,2,1,1,0,0,0,0
587,1,20,1,1,0,0,0,1
588,0,2,0,0,0,0,1,1
589,0,1,1,0,1,0,1,1
590,0,1,0,0,0,0,0,1
591,0,0,0,1,0,0,0,1
592,0,6,0,0,0,0,0,1
593,1,10,1,0,0,0,1,1
594,1,10,1,0,0,0,0,1
595,0,1,0,0,0,0,0,0
596,1,9,0,1,0,1,0,0
597,0,1,0,1,0,0,0,0
598,0,0,0,0,0,0,0,1
599,0,0,0,0,1,0,1,1
600,0,2,1,1,0,1,0,0
601,1,0,1,0,1,0,0,1
602,1,18,1,1,0,0,0,1
603,0,0,0,1,0,0,1,1
604,0,1,1,0,1,0,0,1
605,1,1,0,0,0,0,0,0
606,0,0,0,1,0,0,0,0
607,1,0,0,0,0,0,1,0
608,0,1,1,0,1,0,0,1
609,0,0,0,0,1,0,1,0
610,1,0,0,0,0,0,0,0
611,0,0,0,1,0,0,1,0
612,0,1,0,0,1,0,0,0
613,0,1,0,0,0,1,0,1
614,0,0,1,0,1,0,0,1
615,0,1,0,0,0,0,0,0
616,1,1,0,0,1,0,0,0
617,1,0,0,1,0,0,0,1
618,1,4,1,0,0,1,0,1
619,0,2,1,1,0,0,0,1
620,1,6,1,0,1,0,0,1
621,0,0,1,0,1,0,0,1
622,0,0,0,0,0,0,0,1
623,0,0,0,0,1,0,0,1
624,0,11,1,1,0,0,0,1
625,1,10,1,0,0,0,0,1
626,0,0,0,0,1,0,0,1
627,0,0,1,0,1,1,1,0
628,0,0,0,0,0,0,0,0
629,1,22,1,0,0,0,0,0
630,1,0,1,0,1,0,0,1
631,0,0,0,1,0,1,0,0
632,1,7,1,0,0,0,1,1
633,0,1,1,0,0,1,1,1
634,0,8,0,1,0,0,0,1
635,0,10,1,0,0,0,1,1
636,0,0,1,0,0,1,0,1
637,1,0,1,0,1,0,0,1
638,0,3,1,0,0,1,0,1
639,1,2,1,0,1,0,0,1
640,1,4,1,0,0,0,0,1
641,1,19,1,1,0,1,0,1
642,1,1,0,0,1,0,0,0
643,0,0,1,0,1,1,1,0
644,1,1,1,0,1,1,0,0
645,0,0,0,0,1,1,0,1
646,0,3,1,0,0,0,1,1
647,0,0,0,1,0,1,0,1
648,0,0,1,0,1,1,0,1
649,1,5,1,0,0,0,0,1
650,0,6,1,0,0,0,0,1
651,0,2,0,0,1,0,1,0
652,1,4,1,0,0,0,0,1
653,0,1,0,0,0,0,1,1
654,1,1,0,0,0,0,0,0
655,0,0,0,0,0,0,0,1
656,0,0,0,0,0,0,1,1
657,1,8,1,0,0,0,0,1
658,0,0,0,0,0,0,1,0
659,0,0,0,1,0,0,1,0
660,0,4,0,0,0,0,0,1
661,0,4,1,0,0,1,0,1
662,1,1,0,0,1,0,1,0
663,1,2,1,0,1,0,0,0
664,1,0,0,0,1,0,0,0
665,0,11,1,1,0,0,0,1
666,0,0,1,1,0,0,0,0
667,0,0,0,0,0,0,0,0
668,0,3,1,0,0,1,0,1
669,0,0,0,0,0,0,1,0
670,1,1,1,0,1,0,0,1
671,0,2,0,0,0,0,1,0
672,1,0,1,0,1,0,0,1
673,1,22,1,0,0,0,0,1
674,0,0,0,0,1,1,1,0
675,0,0,0,1,0,0,1,1
676,0,0,0,0,0,0,0,0
677,0,0,0,0,1,0,0,0
678,1,1,1,0,1,1,1,1
679,0,1,0,0,0,1,1,1
680,0,0,0,1,0,0,1,1
681,0,2,1,0,0,0,0,0
682,1,3,0,0,0,0,0,1
683,0,0,0,0,0,1,1,1
684,0,0,0,0,0,0,0,1
685,0,3,1,0,0,0,1,0
686,1,17,1,0,0,0,0,1
687,1,1,0,0,1,0,0,1
688,0,7,1,0,0,0,0,1
689,0,0,0,0,1,0,0,1
690,0,8,0,0,0,0,0,0
691,1,14,1,0,0,0,0,1
692,0,0,1,0,0,0,1,1
693,1,1,0,0,0,1,1,0
694,1,5,1,0,0,0,1,1
695,0,16,1,0,0,0,0,1
696,1,1,0,0,0,0,1,0
697,1,0,0,0,0,1,1,0
698,0,0,0,0,0,0,1,0
699,0,2,0,1,0,0,0,0
700,1,3,1,0,0,0,1,1
701,0,1,0,0,1,1,0,1
702,0,2,0,0,0,0,1,0
703,1,13,1,0,0,0,0,1
704,0,0,0,0,0,0,0,0
705,1,0,0,0,1,0,0,0
706,0,20,1,0,0,0,0,1
707,1,3,1,0,0,0,0,1
708,1,25,1,1,0,0,0,1
709,1,1,1,0,1,0,1,1
710,1,9,1,1,0,0,1,1
711,1,5,0,0,0,0,0,0
712,1,4,1,1,0,0,1,1
713,0,4,0,0,0,0,1,1
714,0,4,0,1,0,0,1,0
715,1,1,0,0,0,0,0,1
716,0,2,0,0,0,0,1,1
717,1,6,1,0,0,0,0,1
718,0,3,0,0,0,0,0,0
719,0,0,0,1,0,0,0,0
720,1,1,1,0,1,0,1,1
721,1,4,1,0,0,0,1,0
722,1,1,0,0,0,1,1,0
723,0,1,1,0,1,0,0,1
724,1,1,1,0,1,0,0,1
725,1,3,0,0,1,0,0,0
726,1,4,1,0,0,0,1,1
727,0,1,0,1,0,0,0,0
728,1,5,1,0,1,0,0,1
729,0,0,0,0,0,0,0,0
730,0,0,0,1,0,0,0,0
731,0,7,1,0,1,0,1,1
732,0,0,1,0,1,1,1,0
733,1,1,0,0,1,0,0,1
734,0,9,1,0,0,0,1,1
735,1,5,0,0,0,0,0,1
736,0,1,1,0,1,1,0,0
737,1,0,1,0,0,0,0,1
738,1,25,1,0,0,0,1,1
739,0,0,0,0,1,0,0,1
740,1,13,1,0,0,0,0,1
741,0,0,0,1,0,0,0,0
742,0,4,0,0,0,1,0,1
743,0,0,0,0,0,0,0,0
744,0,0,0,1,0,1,0,1
745,0,3,1,0,1,0,0,1
746,0,1,0,0,0,1,1,1
747,1,1,1,0,1,0,0,0
748,0,3,0,0,0,0,0,0
749,1,6,1,0,1,0,0,1
750,1,4,0,0,0,0,0,0
751,0,1,0,0,0,0,0,1
752,0,1,0,1,0,0,0,0
753,0,1,1,0,0,0,0,1
754,1,3,1,0,1,0,0,1
755,0,3,0,1,0,0,0,1
756,1,1,0,0,1,0,1,0
757,0,4,1,0,0,0,0,1
758,1,1,0,0,0,1,0,0
759,0,1,1,0,0,1,0,1
760,0,0,0,0,0,0,1,1
761,1,9,1,0,0,0,0,1
762,1,0,1,0,0,0,0,0
763,1,1,0,1,0,0,0,0
764,0,1,0,0,0,0,1,1
765,0,1,0,1,0,1,1,1
766,1,3,1,0,0,0,1,1
767,1,3,0,0,0,0,0,1
768,1,5,0,0,0,0,1,1
769,1,0,0,1,0,0,1,1
